Ctrl1	Treat1	Ctrl2	Treat2	Ctrl3	Treat3	Ctrl4	Treat4
hsa-miR-486-5p	200514	305241	179105	219989	438460	469674	331474	376151
hsa-miR-423-5p	55401	67965	36693	45349	72333	79089	63982	78700
hsa-let-7b-5p	76585	96188	44955	60709	72756	88950	49736	64993
hsa-miR-92a-3p	22209	27509	15584	20015	38517	41788	24761	31038
hsa-let-7a-5p	45160	58871	53630	73604	30379	37605	38626	50836
hsa-miR-26a-5p	20156	26089	45257	59435	11395	12626	17269	22292
hsa-let-7f-5p	23882	32483	46184	64389	15054	18969	19513	26770
hsa-miR-191-5p	12342	14459	18658	21660	7868	7794	9254	10794
hsa-miR-451a	17581	24734	17637	24874	19981	24763	13109	18515
hsa-miR-10b-5p	12087	11595	9751	9471	9948	7697	3570	3595
hsa-miR-146a-5p	5609	6998	9534	12298	2105	2252	6610	8390
hsa-miR-10a-5p	8914	8573	6619	6778	6351	5143	3500	3723
hsa-miR-151a-5p	4547	6024	9675	14226	2880	3754	4932	7365
hsa-miR-99b-5p	7306	8443	5899	7320	5140	5465	5317	6290
hsa-miR-30d-5p	6555	7342	12144	13079	4403	4530	7538	8359
hsa-miR-27b-3p	2891	3947	4496	6291	1321	1610	3169	4152
hsa-miR-125a-5p	8167	6240	4114	4914	3315	6563	3095	3663
hsa-miR-25-3p	4577	6280	6183	8598	4672	5957	4777	6680
hsa-miR-151a-3p	1915	2417	4493	6028	1179	1435	2906	3830
hsa-let-7i-5p	2738	3415	4897	6394	1884	2163	3804	4903
hsa-let-7g-5p	1637	2045	2254	3035	841	966	1823	2342
hsa-miR-148a-3p	404	558	1860	2534	313	362	576	747
hsa-miR-320a-3p	1183	1403	1418	1916	961	1149	3664	4768
hsa-miR-423-3p	1518	1719	2176	2546	948	978	1957	2353
hsa-miR-30c-5p	2649	2897	3403	3729	1748	1566	1401	1548
hsa-miR-99a-5p	1379	1897	1343	1897	1315	1544	1047	1429
hsa-miR-182-5p	1765	2144	1726	2217	2596	2847	897	1109
hsa-miR-222-3p	635	671	1369	1581	440	449	1289	1436
hsa-let-7e-5p	2242	3032	2029	2408	1362	1720	1754	2479
hsa-miR-146b-5p	1238	1429	2499	2989	551	553	993	1185
hsa-miR-363-3p	1254	1820	1466	2153	1269	1571	1945	2755
hsa-miR-16-2-3p	2008	3013	2371	3678	1937	2837	1756	2750
hsa-let-7d-5p	1040	1313	1803	2418	611	755	1466	1934
hsa-miR-92b-3p	176	224	105	146	228	292	136	188
hsa-miR-183-5p	369	587	491	896	833	1167	484	734
hsa-miR-199a-5p	594	670	1696	2019	297	317	980	1167
hsa-miR-100-5p	889	1143	945	1326	589	726	335	435
hsa-miR-484	1169	1423	1045	1372	1650	1959	2011	2472
