"","Healthy1","Healthy2","Healthy3","Healthy4","Healthy5","Healthy6","Healthy7","Healthy8","Healthy9","Healthy10","Healthy11","Healthy12","Healthy13","Healthy14","Healthy15","Healthy16","Healthy17","Healthy18","Healthy19","Healthy20","Healthy21","Healthy22","Healthy23","Healthy24","Healthy25","Healthy26","Healthy27","Healthy28","Healthy29","Healthy30","Healthy31","Healthy32","Healthy33","Healthy34","Healthy35","Healthy36","Healthy37","Healthy38","Healthy39","Healthy40","Healthy41","Healthy42","Healthy43","Healthy44","Healthy45","Healthy46","Healthy47","Healthy48","Healthy49","Healthy50","Healthy51","Healthy52","Healthy53","Healthy54","Healthy55","Healthy56","Healthy57","Healthy58","Healthy59","Healthy60","PD1","PD2","PD3","PD4","PD5","PD6","PD7","PD8","PD9","PD10","PD11","PD12","PD13","PD14","PD15","PD16","PD17","PD18","PD19","PD20","PD21","PD22","PD23","PD24","PD25","PD26","PD27","PD28","PD29","PD30","PD31","PD32","PD33","PD34","PD35","PD36","PD37","PD38","PD39","PD40","PD41","PD42","PD43","PD44","PD45","PD46","PD47","PD48","PD49","PD50","PD51","PD52","PD53","iRBD1","iRBD2","iRBD3","iRBD4","iRBD5","iRBD6","iRBD7","iRBD8","iRBD9","iRBD10","iRBD11","iRBD12","iRBD13","iRBD14","iRBD15","iRBD16","iRBD17","iRBD18","iRBD19","iRBD20","iRBD21","iRBD22","iRBD23","iRBD24","iRBD25","iRBD26","iRBD27","iRBD28","iRBD29","iRBD30","iRBD31","iRBD32","iRBD33","iRBD34","iRBD35","iRBD36","iRBD37","iRBD38","iRBD39","iRBD40","iRBD41","iRBD42","iRBD43","iRBD44","iRBD45","iRBD46","iRBD47","iRBD48","iRBD49","iRBD50","iRBD51","iRBD52","iRBD53","iRBD54","iRBD55","iRBD56"
"let-7a-3p",285,542,29,64,113,75,5,27,18,7,90,5,103,120,4,81,48,37,47,189,15,11,76,60,151,3,33,29,66,7,261,117,65,77,40,2,94,28,108,3,284,116,42,53,6,76,22,1302,186,374,515,230,107,34,181,449,1229,405,180,70,12,203,106,179,3,74,387,22,84,47,318,59,200,708,4,30,9,150,1,55,118,9,52,167,54,390,2070,568,82,309,52,247,238,1653,64,704,17,310,243,199,112,1600,816,314,455,168,446,392,81,373,719,74,67,18,9,591,1,3,1,6,48,3,7,72,1,71,142,5,10,174,19,6,258,379,62,50,38,122,57,43,242,436,47,517,259,613,6,269,156,655,3,91,185,71,875,2289,141,61,3,49,431,3,1275,103,24,7,70,0,1493
"let-7a-5p",611560,708900,231786,225427,296793,361346,187248,90123,287427,463575,537338,300231,330302,2195588,416053,756986,557839,968020,553561,722504,275191,194721,473638,341556,313498,206371,318669,220010,304339,134805,985587,968602,494225,264518,370565,237401,53150,153461,52462,67848,411131,268692,156764,124621,126546,256937,181332,638513,209650,876786,1198401,228012,294211,188596,393238,444702,865386,560636,248979,105479,74659,438430,423789,356373,242813,106623,1080604,139712,374250,613366,1420734,238794,354289,274068,685004,254261,195176,664043,279897,786001,517064,326977,355229,762022,529790,1008688,1830862,1877053,84516,200845,105480,101627,490417,3779195,616007,782106,216125,278775,181508,312919,168593,612416,710481,1844411,541363,116419,131772,259751,367535,554241,585065,128539,210338,597202,247904,1168254,49986,111278,40184,507369,409179,45768,299042,148226,195241,353578,608392,119050,201353,655721,419336,121289,530846,4412480,308190,1447598,189018,385788,150901,269207,645196,1246432,208445,1208077,1875406,923878,72392,362348,167582,2015557,349503,106326,465285,140426,637097,977363,400917,182179,14113,288918,121475,26670,1387181,73239,127738,19449,25275,16901,1506050
"let-7b-3p",249,256,64,108,102,76,114,142,210,160,156,22,103,872,103,327,50,216,544,48,237,43,160,150,340,138,158,92,3,14,204,287,189,621,278,188,136,222,67,248,112,469,352,312,181,266,91,1307,943,331,406,43,4,357,754,257,2194,460,736,300,16,152,212,648,174,55,36,15,170,8,1127,263,4,279,344,119,13,259,9,184,131,678,107,400,220,347,811,202,663,327,223,73,149,563,67,786,137,249,451,60,254,465,460,119,158,4,191,161,10,73,269,174,222,310,473,256,88,49,11,132,242,10,51,74,199,568,344,45,22,62,152,136,523,356,240,46,309,135,163,142,371,381,105,297,279,380,54,300,178,217,246,64,131,290,417,368,120,157,15,425,134,188,391,61,8,118,77,150,254
"let-7b-5p",835460,449023,628858,310642,388359,297563,278965,192261,348463,536690,853398,558161,597410,3022915,743030,841245,586159,1240725,886338,705391,365264,389749,521793,451044,738783,440098,461350,326050,359649,255289,1815895,1747707,832209,430124,548691,367106,108145,188236,128206,156265,282387,527251,260693,230999,264629,319669,306573,394168,313469,1105184,1457199,518954,409110,300496,609787,537857,603241,818760,628535,198469,145206,791555,520124,749236,627039,445755,1017856,501021,627414,856502,2209522,608489,470922,445685,1675804,553132,710472,1900398,840230,1853267,544325,963858,1060388,1763198,1713796,1407167,1061732,1156549,228013,339030,182480,118452,556576,1875945,421068,854944,248122,393548,459897,382334,322566,242802,200286,1064449,571059,267354,74663,317407,534731,409733,838697,193828,352434,918095,873870,506742,135693,198531,144642,531640,773754,145483,485954,448272,412862,1247416,640346,258522,585123,483195,510308,493370,426800,1072835,445997,613977,447371,578343,295499,443251,1208469,1235809,354099,1119605,1564508,782921,145994,526484,403680,661739,399315,171711,644194,319827,551054,590041,422438,285560,24357,500621,225253,41285,1109148,175890,237626,30643,29572,21680,1555023
"let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,121
"let-7c-5p",13345,8723,11022,6697,7375,16143,7490,5616,11590,17799,17362,13122,9027,79803,11655,24688,22804,16606,18588,17604,6952,7201,16370,9976,9816,6794,14857,7563,8051,6439,29892,40394,12854,6801,7735,7203,1608,4080,2308,2821,24714,11470,5753,4346,10497,5444,3272,10997,5958,22171,24056,7094,11070,8880,7686,12053,21567,21269,10527,2373,3840,13153,11473,18760,18642,3768,20523,5779,16531,17316,59358,13602,11429,7449,26365,14728,11353,21634,7684,23164,8687,13853,17971,23280,13740,16862,14760,22802,2708,5278,5049,2191,8450,43959,7717,29505,5415,41858,17319,5805,3543,9780,7225,28080,11628,3238,1657,4055,8203,10169,19623,5628,8838,51872,21299,29623,3709,11220,3748,23552,24654,4431,16880,11698,9638,37601,26971,8538,20076,18131,18749,10927,21378,45916,12103,24781,9738,14673,5412,12369,21114,24621,9380,16162,32809,18541,3906,13701,6719,19945,6772,3970,13492,4016,20510,15342,11912,6226,493,10077,5483,1176,24573,3042,4337,895,793,521,39888
"let-7d-3p",14392,11426,5743,8134,8105,6717,6274,5322,7086,13298,17494,6958,12268,36037,8105,14453,11311,11693,11404,7935,7564,7005,9725,8946,9201,9543,9294,5036,11876,6479,21647,19959,11909,14752,17887,10835,2690,4799,2977,3515,15628,10078,6125,7254,6515,5233,5846,23672,11331,28782,35218,10227,7444,9357,16353,23251,46733,18075,18319,5280,1789,8944,15458,13247,7703,4008,24764,4515,26091,12454,49076,11265,13493,8383,24645,14880,8778,21190,5123,17093,13457,10101,8556,17311,12188,34425,66810,48203,13719,10791,5655,6809,20387,76220,27940,16712,8207,14595,10012,15722,7618,40492,40495,39569,18712,7279,10552,10480,15623,14282,22229,5104,8640,20383,13286,26483,5813,2777,2513,16661,18399,3112,10382,5281,7907,12571,27743,2906,8781,25576,11531,10458,13025,103623,11554,27225,7732,19173,4512,17955,26569,35915,12121,20579,40947,32024,4273,11650,13400,42282,12552,4264,22736,6958,37330,29188,17324,10582,1026,10927,7437,1556,44339,4395,10639,1135,1439,1524,114258
"let-7d-5p",26107,48358,10858,13020,10406,21031,8941,4834,10166,21033,31819,8969,14110,76811,9915,35066,26699,41979,19218,28354,13585,11485,17387,19286,19054,8564,9855,9107,11512,7812,37439,30120,22240,19158,25924,7921,2746,4118,2627,3450,20464,10200,6320,6803,7165,12851,6167,50627,6417,38099,47950,6631,7482,8835,17286,27949,49962,23684,14870,4700,2920,28041,15723,11825,8449,2985,43484,5144,33369,25961,50296,10973,16317,16164,21598,18637,7482,23201,8128,23338,25199,14870,11022,45023,29601,54808,172174,141028,3024,5680,4419,4216,35158,289639,40969,35232,10418,22095,8473,19760,9251,57518,53742,170462,25096,6299,13728,11891,20095,24621,22971,5697,7715,19959,9563,44032,2288,3989,1922,21495,12766,2680,5382,4218,6002,10699,24749,3117,5397,36553,9528,5256,21499,157661,15051,117779,18898,29460,9719,22085,54294,94899,10491,112854,179278,49342,3041,15113,8791,194511,17299,5573,20318,4358,28195,109928,16387,7746,566,7495,3420,1043,70688,3360,3038,591,328,508,75816
"let-7e-3p",0,0,0,3,51,2,0,12,0,0,1,0,0,0,0,0,0,0,6,3,0,0,0,0,0,1,57,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,6,0,26,1,0,0,0,44,0,132,0,0,0,0,64,4,7,0,0,3,0,1,0,122,1,0,58,4,0,0,1,0,0,0,0,0,0,0,0,101,61,1,0,37,0,0,0,3,0,0,1,0,0,0,89,100,0,1,0,25,0,1,100,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,36,0,2,37,0,1,0,3,2,0,1,1,0,0,1,8,1,81,99,0,0,0,0,26,0,1,1,0,30,81,0,0,0,0,0,0,2,0,2,0,0,0,0
"let-7e-5p",27629,22361,23807,11073,14995,17699,14918,10154,16419,27174,29917,30422,16455,112141,14268,35943,24699,20361,38548,24459,15860,13507,18658,21037,27057,20297,15007,12441,22297,8962,60914,72815,34788,10523,13444,12785,2525,5044,2995,7710,14447,19338,7364,6587,15978,10648,6375,11406,10989,49862,27093,13575,11504,16037,11384,16976,13625,34609,18402,2783,4240,30600,23486,18567,25671,6780,32734,9282,29448,19526,98340,20920,23095,15090,39818,10668,20452,44286,20296,38641,22650,23995,34784,45028,25975,26540,45456,54964,2915,9366,6392,2940,10778,94345,48560,25478,6451,14286,10119,8105,4080,8598,5291,62041,32594,3892,2841,7934,11583,15390,33904,8224,13278,70116,34419,31995,4123,12243,3202,32050,34136,4211,20315,23710,18851,59039,19640,12123,26973,21299,44268,20968,24553,89434,15321,26367,9457,13936,5570,20034,29016,47867,21780,19825,78029,28926,3823,22197,10284,40322,12665,3822,22249,8058,18375,7754,13884,9339,919,14996,7517,3044,46633,4430,6601,1262,1918,1157,51801
