miRNA	Normal_mean	RBD_mean	PD_mean	Normal.RBD.p	Normal.PD.p	RBD.PD.p	kruskal.p	kruskal.q
1	let-7b-5p	18.8280862480651	18.5401757046736	18.9039823843313	0.0893340777769869	0.258247373123204	0.0154341716349934	0.0362744103048385	0.103303211955084
2	miR-423-5p	18.5045916175029	18.4733636436248	18.3460831641637	0.909823320888967	0.230300909065406	0.384305899212403	0.481159058722535	0.613448532288585
3	let-7a-5p	18.2820922760915	18.0467749975964	18.3203848041627	0.0233297908538779	0.532467355826227	0.0102425541740676	0.0176496760424244	0.0604472565113098
4	let-7f-5p	17.4413855472779	17.0660136679909	17.4956731447626	0.00100149838771409	0.43225470433793	5.32794669810687e-05	9.81203773860046e-05	0.00116852449432424
5	miR-26a-5p	17.3405336008786	17.096533816591	17.364535101243	0.00375749072396704	0.988524021316404	0.0111737329825219	0.00691911708327494	0.0317980934875148
6	miR-146a-5p	15.7598512377285	16.5601675499914	16.2671755024284	1.93841396453879e-06	0.000111815692937321	0.139875526093687	1.40675846453626e-06	3.87969176535263e-05
7	miR-191-5p	16.3267803644282	16.0963073721811	16.4099256827158	0.00479511099073896	0.452761702602653	0.00288444787575689	0.00307729653302988	0.017916704258974
8	miR-125a-5p	15.9766098519998	16.0272060474356	15.4838969115513	0.688745131671243	0.00428254264974598	0.0132643588785961	0.00885681901584206	0.0385354544321937
9	miR-30d-5p	15.6239131677115	15.8017840281643	15.785184496829	0.018180834684053	0.0228777468640599	0.815441545189644	0.025252783067751	0.077382797236851
10	miR-10b-5p	15.6677952492761	15.3650252632324	14.9857707818237	0.122534448780602	0.000261696810008109	0.0444557795474355	0.00134842480117599	0.00954830534886781
11	miR-30c-5p	15.4905034831546	14.9438133810945	15.2317821046313	1.12030204773952e-09	0.000286157423046427	0.0011932646823848	1.24049026178641e-09	1.30003379435216e-07
12	miR-99b-5p	14.9578675005985	15.1886126971971	14.7941939566277	0.0872712636904468	0.405766656907907	0.0151785592311774	0.0426513214833469	0.115799442783802
13	miR-25-3p	15.4161084484971	14.7244360837269	14.9279917779016	9.5003224120427e-06	0.000195062126615219	0.158667993413384	6.19547847988042e-06	0.000129857228938294
14	miR-151a-5p	14.9248555236665	15.1759712073216	15.2627200135852	0.0128107194657133	0.00173190569014505	0.404498500792399	0.00349507873735866	0.0195304809231022
15	miR-10a-5p	15.2163109057051	15.0811746911755	14.743345184015	0.300236007723401	0.00264576728991111	0.0648811384641222	0.0109756059352468	0.0435206890694962
16	let-7i-5p	14.7392291311949	14.9279236588894	15.1416119539416	0.405688741787945	3.84572003815167e-05	0.0075716646417328	0.00027333001863821	0.00265231351419301
17	miR-27b-3p	14.4145101868648	15.1800084748533	14.955559138587	3.3028759466254e-12	2.60032972249123e-08	0.0297457733502576	4.02064855990918e-13	1.05340992269621e-10
18	miR-423-3p	14.5908248409202	14.7830790187144	14.9658185523859	0.127978344538724	0.000381262724466378	0.0936751204992534	0.00263665257329528	0.0160172837607061
19	miR-320a-3p	14.4142078406652	14.7057025138977	14.2983810315028	0.108494493184316	0.43225470433793	0.0154341716349934	0.049811637421105	0.125547559083094
20	miR-484	14.3634966286436	14.3593468131978	14.2767488639805	0.805790526876201	0.555375975289763	0.480002552771378	0.740599013578813	0.813572082002721
